time_infected,ID,age_group,house_no,work_network,infector_network,infector_infected_time,infector_status,ID_2,age_group_2,house_no_2,work_2
15,90,7,36,3,2,8,2,2197,4,921,2
15,194,3,81,2,2,4,1,4759,6,1992,2
15,207,7,87,3,2,5,2,2085,7,876,3
13,263,8,111,4,1,7,2,3808,8,1593,4
0,372,5,155,2,-1,0,0,372,5,155,2
11,425,7,179,3,2,4,2,2197,4,921,2
15,445,4,187,2,1,4,1,4759,6,1992,2
14,453,7,192,3,1,4,2,2085,7,876,3
12,511,5,214,2,2,5,2,2197,4,921,2
14,653,3,273,2,1,2,1,3965,5,1661,2
14,667,7,279,3,2,5,3,1853,5,780,2
0,851,8,357,4,-1,0,0,851,8,357,4
6,882,6,371,2,1,2,2,3473,5,1455,2
12,883,5,371,2,0,6,3,882,6,371,2
6,987,2,413,2,2,6,2,1282,6,537,2
14,1002,0,419,0,1,4,2,1711,0,716,0
15,1021,8,429,4,1,4,1,1429,8,601,4
14,1059,5,446,2,1,4,1,4850,4,2029,2
14,1205,5,506,2,0,8,2,1207,1,506,1
6,1207,1,506,1,1,6,2,2177,1,914,1
0,1282,6,537,2,-1,0,0,1282,6,537,2
15,1336,4,562,2,2,3,2,3233,4,1355,2
6,1390,0,585,0,1,4,3,2313,0,968,0
13,1391,0,585,0,0,7,5,1390,0,585,0
8,1414,2,594,2,1,4,2,3473,5,1455,2
11,1429,8,601,4,1,5,2,3808,8,1593,4
11,1433,3,603,2,1,6,2,1854,5,780,2
15,1606,2,675,2,1,8,2,4143,3,1735,2
3,1626,8,683,4,1,3,1,851,8,357,4
11,1631,4,685,2,2,11,1,851,8,357,4
14,1687,5,707,2,1,4,2,3460,3,1449,2
10,1711,0,716,0,2,5,2,1897,2,797,2
13,1813,4,762,2,1,3,2,3213,5,1346,2
9,1853,5,780,2,0,4,2,1854,5,780,2
5,1854,5,780,2,1,5,1,372,5,155,2
5,1897,2,797,2,2,5,2,3712,6,1556,2
6,1923,5,810,2,1,6,1,3327,6,1393,2
13,1979,7,834,3,0,6,5,1983,1,834,1
7,1983,1,834,1,2,7,2,3712,6,1556,2
14,1996,3,840,2,1,10,5,3473,5,1455,2
10,2085,7,876,3,2,4,2,4983,4,2087,2
11,2088,5,878,2,1,5,3,882,6,371,2
15,2089,4,878,2,0,4,5,2088,5,878,2
12,2138,4,896,2,1,5,2,4143,3,1735,2
0,2177,1,914,1,-1,0,0,2177,1,914,1
7,2197,4,921,2,2,7,1,3327,6,1393,2
15,2198,4,921,2,0,4,3,2199,0,921,0
11,2199,0,921,0,0,4,2,2197,4,921,2
12,2297,4,961,2,1,2,1,4850,4,2029,2
15,2304,8,963,4,1,3,1,4285,8,1795,4
6,2312,2,968,2,0,4,3,2313,0,968,0
2,2313,0,968,0,1,2,2,4163,6,1744,0
9,2521,4,1056,2,1,5,2,3473,5,1455,2
11,2685,1,1125,1,1,4,2,4997,1,2092,1
8,2828,8,1184,4,2,8,5,3974,1,1664,1
6,3088,0,1294,0,1,4,3,2313,0,968,0
15,3109,5,1302,2,2,9,5,4983,4,2087,2
7,3126,6,1309,2,0,7,2,3129,1,1309,1
10,3128,2,1309,2,0,3,2,3126,6,1309,2
0,3129,1,1309,1,-1,0,0,3129,1,1309,1
10,3213,5,1346,2,1,4,2,4983,4,2087,2
10,3230,4,1354,2,1,5,2,1854,5,780,2
12,3233,4,1355,2,2,6,2,4983,4,2087,2
0,3327,6,1393,2,-1,0,0,3327,6,1393,2
10,3460,3,1449,2,2,5,2,1897,2,797,2
4,3471,8,1454,4,1,4,1,851,8,357,4
6,3472,8,1454,4,0,2,1,3471,8,1454,4
4,3473,5,1455,2,1,4,2,1282,6,537,2
12,3475,2,1455,2,0,8,5,3473,5,1455,2
0,3712,6,1556,2,-1,0,0,3712,6,1556,2
13,3769,0,1577,0,2,5,3,2828,8,1184,4
6,3808,8,1593,4,1,6,1,851,8,357,4
12,3965,5,1661,2,1,6,2,4983,4,2087,2
6,3973,4,1664,2,0,6,5,3974,1,1664,1
0,3974,1,1664,1,-1,0,0,3974,1,1664,1
5,4087,3,1711,2,1,5,2,1282,6,537,2
13,4089,1,1711,1,0,8,5,4087,3,1711,2
12,4142,6,1735,2,0,5,2,4143,3,1735,2
7,4143,3,1735,2,2,7,2,1282,6,537,2
0,4163,6,1744,0,-1,0,0,4163,6,1744,0
